questions,answers
?,azur
?,romeo
?,neo
?,neodragonid
?,echsen
?,lernen
?,ziel
?,sound
?,unlust
?,oase
?,boomen
?,ug
?,orbit
?,inh
?,live
?,ddos
?,iwo
?,bastei
?,stew
?,nerd
?,asiatisch
?,deep
?,fairness
?,eda
?,akw
?,acts
?,harlekin
?,non
?,hz
?,na
?,strange
?,rohr
?,zna
?,nebenan
?,tagen
?,sr
?,besan
?,aktie
?,snare
?,so
?,irl
?,diven
G.O.A.T,Faker
?,Annie
?,Ashe
?,Jax
?,Kayle
?,Morgana
?,Nunu
?,Ryze
?,Sion
?,Sivir
?,Soraka
?,Teemo
?,Tristana
LoL Champion,Warwick
?,Singed
?,Zilean
?,Evelynn
?,Twitch
?,Karthus
?,Amumu
?,Anivia
?,Rammus
?,Veigar
?,Kassadin
?,Gangplank
?,Taric
?,DrMundo
?,Janna
?,Malphite
?,Corki
?,Katarina
?,Nasus
?,Shaco
?,Udyr
?,Nidalee
mc block,Poppy
?,Gragas
?,Pantheon
?,Ezreal
?,Shen
?,Kennen
?,Garen
?,Akali
?,Malzahar
?,Olaf
?,XinZhao
?,Vladimir
?,Galio
?,Urgot
?,Sona
?,Swain
?,Lux
?,LeBlanc
?,Irelia
?,Trundle
?,Caitlyn
?,Renekton
?,Karma
?,Maokai
?,JarvanIV
?,Nocturne
?,LeeSin
?,Brand
?,Rumble
?,Vayne
?,Orianna
?,Yorick
?,Leona
?,Wukong
?,Skarner
?,Talon
?,Riven
?,Xerath
LoL Champion,Graves
?,Shyvana
?,Fizz
?,Volibear
?,Ahri
?,Viktor
?,Sejuani
?,Ziggs
?,Nautilus
?,Fiora
?,Lulu
?,Hecarim
?,Varus
?,Darius
?,Draven
?,Jayce
?,Zyra
?,Diana
?,Rengar
?,Syndra
?,Elise
?,Zed
?,Nami
?,Vi
?,Thresh
?,Quinn
?,Zac
?,Lissandra
?,Aatrox
?,Lucian
?,Jinx
?,Yasuo
?,Braum
?,Gnar
?,Azir
?,Kalista
?,RekSai
?,Bard
?,Ekko
?,TahmKench
?,Kindred
?,Illaoi
?,Jhin
?,Taliyah
?,Kled
?,Ivern
?,Camille
?,Rakan
?,Xayah
?,Kayn
?,Ornn
?,Zoe
?,Pyke
?,Neeko
?,Sylas
?,Yuumi
?,Qiyana
?,Senna
?,Aphelios
?,Sett
?,Lillia
?,Yone
?,Samira
?,Seraphine
?,Rell
?,Viego
?,Gwen
?,Akshan
LoL Champion,Vex
?,Zeri
?,Nilah
?,Milio
?,Naafiri
LoL Champion,Briar
LoL Champion,Hwei
LoL Champion,Smolder
LoL Champion,Aurora
LoL Champion,Ambessa
LoL Champion,Mel
Western GOAT,Caps
Startitem Hersteller t1 toplaner,Doran
Larinae,Moewe
Master..,Yi
...sin,Lee
Wie viele Drachenarten,Fuenf
Türme pro team,elf
Backdoor,xPeke
Höchste base armor,Alistar
Währung um Champions zu kaufen(krzw.),BE
Frühere Währung in League (krzw.),IP
Echtgeld Währung (krzw.),RP
Physischer Schaden (krzw.),AD
Magischer Schaden (krzw.),AP
physischer und magischer Schaden,Hybrid
?,Swing
?,amd
?,intel
?,hyperx
?,Level
?,Boss
?,Quest
?,Skill
?,Charakter
?,Coop
?,PvP
?,PvE
?,Loot
LoL: Was Zhonyas mit der Turm-Aggro macht (engl.),Drop
?,Farmen
?,Grinden
?,Speedrun
?,Hardcore
?,Casual
?,Ranked
?,Patch
?,Update
Downloadable Content,DLC
?,Mod
?,Cheat
?,Bug
?,Glitch
?,Spawn
?,Respawn
?,HP
?,Mana
?,XP
?,NPC
?,Mob
?,Aggro
?,Dungeon
?,Raid
?,Guild
?,Clan
?,Team
?,Strategie
?,tactic
?,pokecomp
?,Taktik
?,Build
?,Meta
?,Nerf
?,Buff
?,Op
?,Balance
?,Sandbox
?,Openworld
?,RPG
?,FPS
Genre von Age of Empires,RTS
?,MMO
?,MOBA
?,Survival
?,Horror
?,Stealth
?,Puzzle
?,Simulator
?,VR
?,AR
Alle 5 Gegner töten,ass
?,Esports
?,Streamer
?,Youtuber
?,Profi
?,Noob
?,Scrub
?,Toxic
?,Report
?,Ban
?,Mute
?,Trophy
?,Save
?,Plus
?,Random
?,Easteregg
?,Lore
?,Cutscene
?,Emote
?,Skin
?,Cosmetic
?,Emblem
?,Ping
?,Lag
?,RNG
?,Crafting
?,Base
?,Inventar
?,Hotbar
?,Event
?,Hitbox
?,Hurtbox
?,Collision
?,Gegner
?,Endgegner
?,Finalboss
?,Secret
?,MiniBoss
?,Raidboss
?,Skilltree
?,Talent
?,Waffe
?,Ruestung
?,Heiltrank
?,Manatrank
?,Debuff
?,Cleansen
?,Stun
?,Slow
?,Root
?,Silence
LoL: Lässt Master Yi mit Ulti rasant wegsprinten (engl.),Fear
?,Charm
?,Taunt
